name,mac
KAB-KINGS-HOTEL,20:ce:2a:a2:02:b3
UCU-ST-MATHEW-HOSTEL,20:ce:2a:a2:02:4b
NDU-WILLIAM-HOSTEL,20:ce:2a:a2:02:c2
NDU-SOPHIS-HOSTEL-2,20:ce:2a:a2:02:d8
Teaching Block (Behind),20:ce:2a:a2:02:1c
MUK-ELEMENTARY-BEHIND,20:ce:2a:a2:02:04
UMU-4,20:ce:2a:a1:00:c6
IU-NSEREKO,20:ce:2a:a1:03:52
MUK-JULIANE-2,20:ce:2a:a1:03:a3
LU-ST-PETERS-HOSTEL,20:ce:2a:a1:03:27
MUK-JULIANE-1,20:ce:2a:a2:02:d9
IU-WABIGALO,20:ce:2a:a1:03:41
GU-REGINA-HOSTEL,20:ce:2a:a2:01:11
MeshPP_20:CE:2A:A1:00:55,20:ce:2a:a1:00:55
MUST-TANKHILL-HOSTEL-1,20:ce:2a:a2:01:d9
BUS-FREEDOM-HOSTEL,20:ce:2a:a1:00:a3
MUST-NICKHILL-SWAGG-HOSTEL,20:ce:2a:a2:01:69
NDU-MINISTER-VILLAGE-HOSTEL,20:ce:2a:a1:03:58
EDEN2-HOSTEL-BEHIND,20:ce:2a:a2:01:49
MULTIPURPOSE-BLOCK,20:ce:2a:a2:02:16
FOOTBALL-PITCH,20:ce:2a:a2:02:81
MUK-MISH-2,20:ce:2a:a1:02:10
MUK-BASKON,20:ce:2a:a2:02:51
NABAGEREKA-GATE,20:ce:2a:a2:02:45
GU-GREEN-PARK-HOSTEL,20:ce:2a:a2:01:cb
JALIA-CITY-MASAKA-RD,20:ce:2a:a2:02:7d
MMU-GUARDIAN-ANGEL-HOSTEL,20:ce:2a:a1:03:68
LU-ST-PETERS-HOSTEL,20:ce:2a:a1:02:6e
UCC CLASS,20:ce:2a:a2:02:d1
MeshPP_20:CE:2A:A2:01:87,20:ce:2a:a2:01:87
MUBS-VALLEY-COURTS-OLD-HOSTEL,20:ce:2a:a1:02:64
LU-NORTHERN-ELITES-HOSTEL,20:ce:2a:a2:02:d7
EDEN1-HOSTEL-BEHIND,20:ce:2a:a2:02:7b
MUGAGA-HOSTEL,20:ce:2a:a1:03:17
MMU-PEARLS-OF-WISDOM-HOSTEL,20:ce:2a:a2:01:85
MUST-TANKHILL-HOSTEL-2,20:ce:2a:a1:03:5d
OLB-LIBRARY,20:ce:2a:a2:02:2a
NKU-MP-HOSTEL,20:ce:2a:a1:03:59
BSU-RIKA-HOSTEL,20:ce:2a:a1:02:e6
LU-MAISHA-BAKO-HOSTEL,20:ce:2a:a2:02:de
MAIN-BUILDING-BEHIND,20:ce:2a:a1:02:6d
SUN-MARTINS-HOSTEL,20:ce:2a:a2:01:2a
SPORTS-PRO-BLOCK-12-F,20:ce:2a:a2:02:19
NKU-ESERU-HOSTEL,20:ce:2a:a2:02:cb
UCC-ADMIN,20:ce:2a:a1:02:0b
NKU-ZANA/SHARMA-HOSTEL,20:ce:2a:a2:01:45
SBA-SCI,20:ce:2a:a2:02:65
EDEN2-HOSTEL-FRONT,20:ce:2a:a2:02:c4
MUK KANN ,20:ce:2a:a2:01:10
NDU-NEW-CITY-HOSTEL-1,20:ce:2a:a1:03:2a
SUN-SOLOMON-CITY-HOSTEL,20:ce:2a:a1:03:5c
MUST-MAKIES-APARTMENTS,20:ce:2a:a1:00:db
MUK-CASTLE VILLA,20:ce:2a:a1:03:c3
FOREST,20:ce:2a:a2:02:6f
MUST-WELLISA-HOSTEL,20:ce:2a:a2:02:7a
EQUSAT-GIRLS-B-01,20:ce:2a:a2:02:b9
LU-PILIPO-HOSTEL,20:ce:2a:a2:02:e0
EDEN1-HOSTEL-FRONT,20:ce:2a:a2:01:ea
NKU-MT-ROYAL-HOSTEL,20:ce:2a:a2:01:39
KAB-HILLSIDE-HOSTEL,20:ce:2a:a2:02:3d
SPORTS-PRO-BLOCK-11-G,20:ce:2a:a2:01:6f
UCU-CARLETON-HOSTEL,20:ce:2a:a2:02:7e
EQUSAT-GIRLS-B-02,20:ce:2a:a2:02:02
IU-BOYS-HOSTEL,20:ce:2a:a1:02:0e
NKU-ST-PAUL-HOSTEL,20:ce:2a:a2:01:f4
KYADONDO-GROUNDS,20:ce:2a:a2:02:4a
MUST-BK-HOSTEL,20:ce:2a:a2:02:dd
GUILD-CANTEEN,20:ce:2a:a2:02:0f
LU-PACHWA-HOSTEL,20:ce:2a:a2:02:d6
NDU-NAKIGANDA-HOSTEL,20:ce:2a:a1:00:b9
UCC-CLASSROOM,20:ce:2a:a2:02:cd
MUBS-VALLEY-COURTS-NEW-HOSTEL,20:ce:2a:a2:01:b9
UMU-KATONGA-REAR,20:ce:2a:a1:00:8f
SPORTS-PRO-BLOCK-9,20:ce:2a:a1:00:a6
MMU-CAMPUS-GATE-HOSTEL,20:ce:2a:a1:02:79
SPORTS-PRO-BLOCK-10-K,20:ce:2a:a2:02:05
MUK-APEX,20:ce:2a:a2:01:38
NDU-NEW-CITY-HOSTEL-2,20:ce:2a:a1:03:63
MMU-ZING-MOONERS-HOSTEL,20:ce:2a:a1:02:fd
NDU-SHALOM-HOSTEL,20:ce:2a:a1:00:e2
CYBER-SCHOOL,20:ce:2a:a1:00:4a
AKAMWEESI-HOSTEL-BALCONY,20:ce:2a:a2:02:af
MUK-GODS-ABLE,20:ce:2a:a2:02:62
MMU-ROBIN-CHAT-NEST,20:ce:2a:a1:03:09
KAB-TOWN-VIEW-HOSTEL,20:ce:2a:a1:02:74
SPORTS-PRO-BLOCK-7,20:ce:2a:a2:02:58
MUK-APEX-NEW,20:ce:2a:a2:02:0d
KAB-MACRO-HOSTEL,20:ce:2a:a2:02:46
NKU-MAMA-GERTRUDE-HOSTEL,20:ce:2a:a1:02:6c
KAB-TWINOS-FAMILY-HOSTEL,20:ce:2a:a1:02:f3
UNIK-HOSTEL,20:ce:2a:a1:00:70
KAB-AFRICAN-HOSTEL,20:ce:2a:a2:02:0a
KAB-JAKARANDA-HOSTEL,20:ce:2a:a2:02:a6
KAB-MUTEK-PLAZA,20:ce:2a:a2:02:c7
UMU-KATONGA-FRONT,20:ce:2a:a1:02:61
GAZ-ISHAKA,20:ce:2a:a2:01:f8
ADMIN-BLOCK,20:ce:2a:a2:01:3a
LIBRARY,20:ce:2a:a2:02:52
Former-Girls-Hostel,20:ce:2a:a1:00:b0
REPEATER-NODE,20:ce:2a:a1:02:fe
KIHUMURO-CAMPUS,20:ce:2a:a2:01:80
MeshPP_20:CE:2A:A2:02:43,20:ce:2a:a2:02:43
MeshPP_20:CE:2A:A2:02:1B,20:ce:2a:a2:02:1b
MeshPP_20:CE:2A:A2:02:D4,20:ce:2a:a2:02:d4
EVERYSOLUTION-NAMUWONGO ,20:ce:2a:a1:00:c9
MLS-GIRLS-HOSTEL,20:ce:2a:a2:02:49
BSU_RIKA_HOSTEL,20:ce:2a:a2:02:40
